l.godzin:   l.miesiecy:   l.tygodni   l.48h   l.24h   l.kolejnych.godz.   l.pierw.godz.   cena: 
0      0      0      0      0      0      1      0.0 z³ 
1      0      0      0      0      1      1      2.0 z³ 
2      0      0      0      0      2      1      6.0 z³ 
3      0      0      0      0      3      1      10.0 z³ 
4      0      0      0      0      4      1      14.0 z³ 
5      0      0      0      0      5      1      18.0 z³ 
6      0      0      0      0      6      1      22.0 z³ 
7      0      0      0      0      7      1      26.0 z³ 
8      0      0      0      0      8      1      30.0 z³ 
9      0      0      0      0      9      1      34.0 z³ 
10      0      0      0      0      10      1      38.0 z³ 
11      0      0      0      0      11      1      42.0 z³ 
12      0      0      0      0      12      1      46.0 z³ 
13      0      0      0      0      13      1      50.0 z³ 
14      0      0      0      0      14      1      54.0 z³ 
15      0      0      0      0      15      1      58.0 z³ 
16      0      0      0      0      16      1      62.0 z³ 
17      0      0      0      0      17      1      66.0 z³ 
18      0      0      0      0      18      1      70.0 z³ 
19      0      0      0      0      19      1      74.0 z³ 
20      0      0      0      0      20      1      78.0 z³ 
21      0      0      0      0      21      1      82.0 z³ 
22      0      0      0      0      22      1      86.0 z³ 
23      0      0      0      0      23      1      90.0 z³ 
24      0      0      0      1      23      2      94.0 z³ 
25      0      0      0      1      24      2      102.0 z³ 
26      0      0      0      1      25      2      106.0 z³ 
27      0      0      0      1      26      2      110.0 z³ 
28      0      0      0      1      27      2      114.0 z³ 
29      0      0      0      1      28      2      118.0 z³ 
30      0      0      0      1      29      2      122.0 z³ 
31      0      0      0      1      30      2      126.0 z³ 
32      0      0      0      1      31      2      130.0 z³ 
33      0      0      0      1      32      2      134.0 z³ 
34      0      0      0      1      33      2      138.0 z³ 
35      0      0      0      1      34      2      142.0 z³ 
36      0      0      0      1      35      2      146.0 z³ 
37      0      0      0      1      36      2      150.0 z³ 
38      0      0      0      1      37      2      154.0 z³ 
39      0      0      0      1      38      2      158.0 z³ 
40      0      0      0      1      39      2      162.0 z³ 
41      0      0      0      1      40      2      166.0 z³ 
42      0      0      0      1      41      2      170.0 z³ 
43      0      0      0      1      42      2      174.0 z³ 
44      0      0      0      1      43      2      178.0 z³ 
45      0      0      0      1      44      2      182.0 z³ 
46      0      0      0      1      45      2      186.0 z³ 
47      0      0      0      1      46      2      190.0 z³ 
48      0      0      1      2      46      3      194.0 z³ 
49      0      0      1      2      47      3      252.0 z³ 
50      0      0      1      2      48      3      256.0 z³ 
51      0      0      1      2      49      3      260.0 z³ 
52      0      0      1      2      50      3      264.0 z³ 
53      0      0      1      2      51      3      268.0 z³ 
54      0      0      1      2      52      3      272.0 z³ 
55      0      0      1      2      53      3      276.0 z³ 
56      0      0      1      2      54      3      280.0 z³ 
57      0      0      1      2      55      3      284.0 z³ 
58      0      0      1      2      56      3      288.0 z³ 
59      0      0      1      2      57      3      292.0 z³ 
60      0      0      1      2      58      3      296.0 z³ 
61      0      0      1      2      59      3      300.0 z³ 
62      0      0      1      2      60      3      304.0 z³ 
63      0      0      1      2      61      3      308.0 z³ 
64      0      0      1      2      62      3      312.0 z³ 
65      0      0      1      2      63      3      316.0 z³ 
66      0      0      1      2      64      3      320.0 z³ 
67      0      0      1      2      65      3      324.0 z³ 
68      0      0      1      2      66      3      328.0 z³ 
69      0      0      1      2      67      3      332.0 z³ 
70      0      0      1      2      68      3      336.0 z³ 
71      0      0      1      2      69      3      340.0 z³ 
72      0      0      1      3      69      4      344.0 z³ 
73      0      0      1      3      70      4      352.0 z³ 
74      0      0      1      3      71      4      356.0 z³ 
75      0      0      1      3      72      4      360.0 z³ 
76      0      0      1      3      73      4      364.0 z³ 
77      0      0      1      3      74      4      368.0 z³ 
78      0      0      1      3      75      4      372.0 z³ 
79      0      0      1      3      76      4      376.0 z³ 
80      0      0      1      3      77      4      380.0 z³ 
81      0      0      1      3      78      4      384.0 z³ 
82      0      0      1      3      79      4      388.0 z³ 
83      0      0      1      3      80      4      392.0 z³ 
84      0      0      1      3      81      4      396.0 z³ 
85      0      0      1      3      82      4      400.0 z³ 
86      0      0      1      3      83      4      404.0 z³ 
87      0      0      1      3      84      4      408.0 z³ 
88      0      0      1      3      85      4      412.0 z³ 
89      0      0      1      3      86      4      416.0 z³ 
90      0      0      1      3      87      4      420.0 z³ 
91      0      0      1      3      88      4      424.0 z³ 
92      0      0      1      3      89      4      428.0 z³ 
93      0      0      1      3      90      4      432.0 z³ 
94      0      0      1      3      91      4      436.0 z³ 
95      0      0      1      3      92      4      440.0 z³ 
96      0      0      2      4      92      5      500.0 z³ 
97      0      0      2      4      93      5      502.0 z³ 
98      0      0      2      4      94      5      506.0 z³ 
99      0      0      2      4      95      5      510.0 z³ 
100      0      0      2      4      96      5      514.0 z³ 
101      0      0      2      4      97      5      518.0 z³ 
102      0      0      2      4      98      5      522.0 z³ 
103      0      0      2      4      99      5      526.0 z³ 
104      0      0      2      4      100      5      530.0 z³ 
105      0      0      2      4      101      5      534.0 z³ 
106      0      0      2      4      102      5      538.0 z³ 
107      0      0      2      4      103      5      542.0 z³ 
108      0      0      2      4      104      5      546.0 z³ 
109      0      0      2      4      105      5      550.0 z³ 
110      0      0      2      4      106      5      554.0 z³ 
111      0      0      2      4      107      5      558.0 z³ 
112      0      0      2      4      108      5      562.0 z³ 
113      0      0      2      4      109      5      566.0 z³ 
114      0      0      2      4      110      5      570.0 z³ 
115      0      0      2      4      111      5      574.0 z³ 
116      0      0      2      4      112      5      578.0 z³ 
117      0      0      2      4      113      5      582.0 z³ 
118      0      0      2      4      114      5      586.0 z³ 
119      0      0      2      4      115      5      590.0 z³ 
120      0      0      2      5      115      6      594.0 z³ 
121      0      0      2      5      116      6      602.0 z³ 
122      0      0      2      5      117      6      606.0 z³ 
123      0      0      2      5      118      6      610.0 z³ 
124      0      0      2      5      119      6      614.0 z³ 
125      0      0      2      5      120      6      618.0 z³ 
126      0      0      2      5      121      6      622.0 z³ 
127      0      0      2      5      122      6      626.0 z³ 
128      0      0      2      5      123      6      630.0 z³ 
129      0      0      2      5      124      6      634.0 z³ 
130      0      0      2      5      125      6      638.0 z³ 
131      0      0      2      5      126      6      642.0 z³ 
132      0      0      2      5      127      6      646.0 z³ 
133      0      0      2      5      128      6      650.0 z³ 
134      0      0      2      5      129      6      654.0 z³ 
135      0      0      2      5      130      6      658.0 z³ 
136      0      0      2      5      131      6      662.0 z³ 
137      0      0      2      5      132      6      666.0 z³ 
138      0      0      2      5      133      6      670.0 z³ 
139      0      0      2      5      134      6      674.0 z³ 
140      0      0      2      5      135      6      678.0 z³ 
141      0      0      2      5      136      6      682.0 z³ 
142      0      0      2      5      137      6      686.0 z³ 
143      0      0      2      5      138      6      690.0 z³ 
144      0      0      3      6      138      7      750.0 z³ 
145      0      0      3      6      139      7      752.0 z³ 
146      0      0      3      6      140      7      756.0 z³ 
147      0      0      3      6      141      7      760.0 z³ 
148      0      0      3      6      142      7      764.0 z³ 
149      0      0      3      6      143      7      768.0 z³ 
150      0      0      3      6      144      7      772.0 z³ 
151      0      0      3      6      145      7      776.0 z³ 
152      0      0      3      6      146      7      780.0 z³ 
153      0      0      3      6      147      7      784.0 z³ 
154      0      0      3      6      148      7      788.0 z³ 
155      0      0      3      6      149      7      792.0 z³ 
156      0      0      3      6      150      7      796.0 z³ 
157      0      0      3      6      151      7      800.0 z³ 
158      0      0      3      6      152      7      804.0 z³ 
159      0      0      3      6      153      7      808.0 z³ 
160      0      0      3      6      154      7      812.0 z³ 
161      0      0      3      6      155      7      816.0 z³ 
162      0      0      3      6      156      7      820.0 z³ 
163      0      0      3      6      157      7      824.0 z³ 
164      0      0      3      6      158      7      828.0 z³ 
165      0      0      3      6      159      7      832.0 z³ 
166      0      0      3      6      160      7      836.0 z³ 
167      0      0      3      6      161      7      840.0 z³ 
168      0      1      3      7      161      8      844.0 z³ 
169      0      1      3      7      162      8      1802.0 z³ 
170      0      1      3      7      163      8      1806.0 z³ 
171      0      1      3      7      164      8      1810.0 z³ 
172      0      1      3      7      165      8      1814.0 z³ 
173      0      1      3      7      166      8      1818.0 z³ 
174      0      1      3      7      167      8      1822.0 z³ 
175      0      1      3      7      168      8      1826.0 z³ 
176      0      1      3      7      169      8      1830.0 z³ 
177      0      1      3      7      170      8      1834.0 z³ 
178      0      1      3      7      171      8      1838.0 z³ 
179      0      1      3      7      172      8      1842.0 z³ 
180      0      1      3      7      173      8      1846.0 z³ 
181      0      1      3      7      174      8      1850.0 z³ 
182      0      1      3      7      175      8      1854.0 z³ 
183      0      1      3      7      176      8      1858.0 z³ 
184      0      1      3      7      177      8      1862.0 z³ 
185      0      1      3      7      178      8      1866.0 z³ 
186      0      1      3      7      179      8      1870.0 z³ 
187      0      1      3      7      180      8      1874.0 z³ 
188      0      1      3      7      181      8      1878.0 z³ 
189      0      1      3      7      182      8      1882.0 z³ 
190      0      1      3      7      183      8      1886.0 z³ 
